[19:12:45] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] START mode=baseline-repeat person=Owen Valencia width=0.612 height=1.989 step=0.6 target=BlockPos{x=131, y=6, z=131} door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] pack={minecraft:cobblestone=25, minecraft:dirt=112, minecraft:oak_log=20}
[19:12:45] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=0 pos=(127.5, 5.0, 131.5) velocity=(-0.033309215660557265, -0.0784000015258789, 0.08341378210950565) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:46] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=40 pos=(122.84973970980501, 5.0, 136.1503558986909) velocity=(-0.06534374902387449, -0.0784000015258789, 0.06533171240760219) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=5 pathCount=26
[19:12:46] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=80 pos=(116.7230177339359, 5.0, 138.2261642023787) velocity=(-0.07758098411876904, -0.0784000015258789, 0.04458745939949569) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=12 pathCount=26
[19:12:46] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=120 pos=(111.58156675611916, 5.0, 142.41850894403854) velocity=(-0.06533866551501273, -0.0784000015258789, 0.06533679139538548) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=17 pathCount=26
[19:12:46] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=160 pos=(106.30599999427795, 5.0, 145.09131858249154) velocity=(0.0, -0.0784000015258789, -0.05650551864380775) horizontalCollision=true verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=22 pathCount=26
[19:12:46] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=200 pos=(106.81486566705946, 5.0, 145.76784454135006) velocity=(0.06126102310909195, -0.0784000015258789, 0.042407850114979675) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=3 pathCount=27
[19:12:46] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=240 pos=(112.03799178272341, 5.0, 141.96181086070098) velocity=(0.06534440437025828, -0.0784000015258789, -0.0653310565128138) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=8 pathCount=27
[19:12:46] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=280 pos=(116.82469858593275, 5.0, 137.17522525069782) velocity=(0.0653377281013041, -0.0784000015258789, -0.06533772810124036) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=13 pathCount=27
[19:12:46] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=320 pos=(122.50031772116546, 5.0, 134.30161593307832) velocity=(0.07681117731660539, -0.0784000015258789, -0.046548142395269006) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=19 pathCount=27
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=360 pos=(128.43216015396524, 5.0, 131.70906844320757) velocity=(0.08325252590578806, -0.0784000015258789, -0.03353298707516363) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=25 pathCount=27
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=400 pos=(128.69400000572205, 5.0, 131.51487630318013) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=440 pos=(128.69400000572205, 5.0, 131.50815866078995) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=480 pos=(128.69400000572205, 5.0, 131.50445983998446) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=520 pos=(128.69400000572205, 5.0, 131.50244046391083) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=560 pos=(128.69400000572205, 5.0, 131.50169542888182) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:12:47] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=600 pos=(128.69400000572205, 5.764851015141681, 131.50100090415657) velocity=(0.0, -0.30431682745754424, -7.660819430421564E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
