[19:10:29] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] START mode=baseline person=Owen Valencia width=0.612 height=1.989 step=0.6 target=BlockPos{x=131, y=6, z=131} door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] pack={minecraft:dirt=112, minecraft:cobblestone=25, minecraft:oak_log=20}
[19:10:29] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=0 pos=(128.5, 5.0, 131.5) velocity=(-0.03838741968095904, -0.0784000015258789, 0.026783882871714328) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=40 pos=(123.90524842675357, 5.0, 136.09479982160553) velocity=(-0.06533767718540959, -0.0784000015258789, 0.06533777905402269) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=5 pathCount=27
[19:10:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=80 pos=(117.58821684626848, 5.0, 137.61389875483277) velocity=(-0.07922646108600195, -0.0784000015258789, 0.039147026157733106) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=12 pathCount=27
[19:10:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=120 pos=(112.35613968665471, 5.0, 141.64389372765058) velocity=(-0.06533558494231075, -0.0784000015258789, 0.06533987132523482) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=17 pathCount=27
[19:10:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=160 pos=(107.10856061102612, 5.0, 145.50155920421005) velocity=(-0.09224083204178708, -0.0784000015258789, 0.002296959513185771) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=22 pathCount=27
[19:10:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=200 pos=(105.50983714977245, 6.0, 143.808164476452) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:10:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=240 pos=(109.69257415964695, 5.0, 144.29882724674385) velocity=(0.06596138085381804, -0.0784000015258789, -0.06467940440610724) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=6 pathCount=27
[19:10:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=280 pos=(114.48343372653298, 5.0, 139.51648195496261) velocity=(0.0653377281271596, -0.0784000015258789, -0.06533772807540467) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=11 pathCount=27
[19:10:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=320 pos=(119.2901281724787, 5.0, 134.76489593290967) velocity=(0.07628407634296384, -0.0784000015258789, -0.04619487346475845) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=16 pathCount=27
[19:10:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=360 pos=(125.63707169272662, 5.0, 133.28767390118404) velocity=(0.07397033355017005, -0.0784000015258789, -0.05007896935060041) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=22 pathCount=27
