[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] START mode=open-door person=Owen Valencia width=0.612 height=1.989 step=0.6 target=BlockPos{x=131, y=6, z=131} door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] pack={minecraft:oak_log=20, minecraft:cobblestone=25, minecraft:dirt=112}
[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=0 pos=(127.5, 5.0, 131.5) velocity=(-0.05363883256859738, -0.0784000015258789, 0.07307482695845449) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=40 pos=(123.07695650251058, 5.0, 135.92315523326084) velocity=(-0.06533782350878305, -0.0784000015258789, 0.06533763274679334) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=5 pathCount=26
[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=80 pos=(116.9814721813439, 5.0, 138.03368291678885) velocity=(-0.06838939803440519, -0.0784000015258789, 0.06115177550786502) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=11 pathCount=26
[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=120 pos=(111.81621675345406, 5.0, 142.18388486377705) velocity=(-0.06534069853258534, -0.0784000015258789, 0.06533475997274323) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=17 pathCount=26
[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=160 pos=(106.43126807810006, 5.0, 145.29255125848223) velocity=(-0.0755432565741103, -0.0784000015258789, -0.04817201722471477) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=22 pathCount=26
[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=200 pos=(106.6793394073029, 5.535840625044555, 145.66831329118824) velocity=(0.06281602561277304, -0.30431682745754424, 0.05401593717356303) horizontalCollision=false verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=3 pathCount=27
[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=240 pos=(111.79862517925532, 5.0, 142.20112091294143) velocity=(0.06534536635949036, -0.0784000015258789, -0.06533009257902661) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=8 pathCount=27
[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=280 pos=(116.58535704954267, 5.0, 137.41456037429953) velocity=(0.06533772810134231, -0.0784000015258789, -0.06533772810120218) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=13 pathCount=27
[19:14:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=320 pos=(122.21304886030029, 5.0, 134.45661955249182) velocity=(0.08492049602170132, -0.0784000015258789, -0.02390806913454324) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=19 pathCount=27
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=360 pos=(128.13780085399702, 5.0, 131.85250422548523) velocity=(0.06750069503822445, -0.0784000015258789, -0.06276620856536752) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=24 pathCount=27
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=400 pos=(128.69400000572205, 5.0, 131.51487616239845) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=440 pos=(128.69400000572205, 5.0, 131.50815852000827) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=480 pos=(128.69400000572205, 5.0, 131.50445969920278) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=520 pos=(128.69400000572205, 5.0, 131.50244032312915) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=560 pos=(128.69400000572205, 5.0, 131.50169528810014) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=600 pos=(128.69400000572205, 6.1498065294638975, 131.5010344373055) velocity=(0.0, 0.07920386063322811, -7.660819430421564E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=1 pathCount=3
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=640 pos=(128.69400000572205, 6.150610388571247, 131.5007013810202) velocity=(0.0, -0.1552320045166016, -5.266814848220102E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=680 pos=(128.69400000572205, 6.150610388571247, 131.5004788173159) velocity=(0.0, -0.1552320045166016, -3.830410877985632E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=720 pos=(128.69400000572205, 6.150610388571247, 131.50033201997076) velocity=(0.0, -0.1552320045166016, -2.3940070530980186E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=1 pathCount=3
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=760 pos=(128.69400000572205, 6.150610388571247, 131.5002157396307) velocity=(0.0, -0.1552320045166016, -1.9152055843396723E-6) horizontalCollision=true verticalCollision=false onGround=false door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=true,powered=false] progress=GATHERING pathIndex=1 pathCount=3
[19:14:42] [Server thread/DEBUG] [co.qu.ki.Kithkyn/]: Owen Valencia cannot reach gathering to build at 131, 6, 131 and is standing down
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=800 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=840 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=880 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=920 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=960 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1000 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:43] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1040 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:43] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1080 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:43] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1120 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:43] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1160 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:43] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1200 pos=(128.69400000572205, 5.0, 131.50020521652334) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=-1 pathCount=-1
[19:14:43] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] RESULT FAIL mode=open-door ticks=1200 progress=GATHERING position=(128.69400000572205, 5.0, 131.50020521652334)
