[23:19:49] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] START mode=exterior-final person=Owen Valencia width=0.612 height=1.989 step=0.6 target=BlockPos{x=131, y=6, z=131} door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] pack={minecraft:dirt=112, minecraft:cobblestone=25, minecraft:oak_log=20}
[23:19:50] [Server thread/DEBUG] [co.qu.ki.Kithkyn/]: [construction-access] Owen Valencia will work on house_plains_2 from outside at 126, 5, 143
[23:19:50] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=320 pos=(125.04518629334954, 5.0, 143.89184621383703) velocity=(0.07119051462456503, -0.0784000015258789, -0.05840488661567516) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=GATHERING pathIndex=21 pathCount=22
[23:19:51] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=720 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=DEMOLISHING pathIndex=-1 pathCount=-1
[23:19:51] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1120 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=DEMOLISHING pathIndex=-1 pathCount=-1
[23:19:52] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1520 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=DEMOLISHING pathIndex=-1 pathCount=-1
[23:19:52] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=1920 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=DEMOLISHING pathIndex=-1 pathCount=-1
[23:19:52] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=2320 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=DEMOLISHING pathIndex=-1 pathCount=-1
[23:19:52] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=2720 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=DEMOLISHING pathIndex=-1 pathCount=-1
[23:19:52] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=3120 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=DEMOLISHING pathIndex=-1 pathCount=-1
[23:19:53] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=3520 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=DEMOLISHING pathIndex=-1 pathCount=-1
[23:19:53] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=3920 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=DEMOLISHING pathIndex=-1 pathCount=-1
[23:19:53] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=4320 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=PREPARING pathIndex=-1 pathCount=-1
[23:19:53] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=4720 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=PREPARING pathIndex=-1 pathCount=-1
[23:19:53] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=5120 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=PREPARING pathIndex=-1 pathCount=-1
[23:19:53] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=5520 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=PREPARING pathIndex=-1 pathCount=-1
[23:19:53] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=5920 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=PREPARING pathIndex=-1 pathCount=-1
[23:19:54] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=6320 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:54] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=6720 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:54] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=7120 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:54] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=7520 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:54] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=7920 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:54] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=8320 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:54] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=8720 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:54] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=9120 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:54] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=9520 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:55] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=9920 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:55] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=10320 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:55] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] tick=10720 pos=(125.19783908045207, 5.0, 143.76944354683727) velocity=(0.0, -0.0784000015258789, 0.0) horizontalCollision=false verticalCollision=true onGround=true door=Block{minecraft:oak_door}[facing=east,half=lower,hinge=right,open=false,powered=false] progress=IN_PROGRESS_WORKING pathIndex=-1 pathCount=-1
[23:19:55] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [house-access] RESULT PASS mode=exterior-final ticks=10789 progress=COMPLETE position=(125.19783908045207, 5.0, 143.76944354683727)
