[23:45:56] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=0, project=none, stage=none, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:46:09] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=216, project=butchery_plains_1, stage=GATHERING, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:46:11] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=439, project=butchery_plains_1, stage=NOT_STARTED, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:46:11] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=441, project=butchery_plains_1, stage=CONSTRUCTING, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:48:02] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=7479, project=butchery_plains_1, stage=COMPLETE, unhousedAdults=2, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:48:12] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=8440, project=none, stage=none, unhousedAdults=2, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:50:44] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=56576, project=house_plains_1, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:50:45] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=56999, project=house_plains_1, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:50:45] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=57001, project=house_plains_1, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:50:49] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=60079, project=house_plains_1, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:50:52] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=61240, project=none, stage=none, unhousedAdults=3, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:54:34] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=109461, project=blacksmith_plains_1, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:55:18] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=119859, project=blacksmith_plains_1, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:55:18] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=119861, project=blacksmith_plains_1, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:55:59] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=128817, project=blacksmith_plains_1, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:56:00] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=129640, project=none, stage=none, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:57:11] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=177777, project=butchery_plains_1, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:57:11] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=178199, project=butchery_plains_1, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:57:11] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=178201, project=butchery_plains_1, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:57:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=196219, project=butchery_plains_1, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[23:57:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=196840, project=none, stage=none, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[00:00:01] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=245019, project=butchery_plains_1, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[00:00:02] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=245439, project=butchery_plains_1, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[00:00:02] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=245441, project=butchery_plains_1, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[00:00:16] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=252479, project=butchery_plains_1, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[00:00:24] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=253240, project=none, stage=none, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[00:04:16] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-benchmark] COMPLETE enabled=false elapsed=288000 builds=5
