[00:18:38] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=0, project=none, stage=none, unhousedAdults=2, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:18:50] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=848, project=blacksmith_plains_1, stage=GATHERING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:18:55] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=2279, project=blacksmith_plains_1, stage=NOT_STARTED, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:18:55] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=2281, project=blacksmith_plains_1, stage=CONSTRUCTING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:19:03] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=10659, project=blacksmith_plains_1, stage=COMPLETE, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:19:04] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=11540, project=none, stage=none, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:22:10] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=59670, project=farm_plains_1, stage=GATHERING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:22:10] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=59859, project=farm_plains_1, stage=NOT_STARTED, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:22:10] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=59861, project=farm_plains_1, stage=CONSTRUCTING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:22:23] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=72799, project=farm_plains_1, stage=COMPLETE, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:22:26] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=73940, project=none, stage=none, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:24:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=122039, project=farm_plains_1, stage=GATHERING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:24:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=122380, project=farm_plains_1, stage=NOT_STARTED, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:24:31] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=122382, project=farm_plains_1, stage=CONSTRUCTING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:24:32] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=124220, project=farm_plains_1, stage=COMPLETE, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:24:32] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=124340, project=none, stage=none, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:25:25] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=172459, project=farm_plains_1, stage=GATHERING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:25:26] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=172700, project=farm_plains_1, stage=NOT_STARTED, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:25:26] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=172702, project=farm_plains_1, stage=CONSTRUCTING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:25:26] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=174540, project=farm_plains_1, stage=COMPLETE, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:25:26] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=174740, project=none, stage=none, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:26:13] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=222884, project=farm_plains_1, stage=GATHERING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:26:13] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=223180, project=farm_plains_1, stage=NOT_STARTED, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:26:13] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=223182, project=farm_plains_1, stage=CONSTRUCTING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:26:16] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=225020, project=farm_plains_1, stage=COMPLETE, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:26:16] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=225140, project=none, stage=none, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:27:11] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=273263, project=farm_plains_1, stage=GATHERING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:27:22] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=287740, project=farm_plains_1, stage=NOT_STARTED, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:27:22] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=287742, project=farm_plains_1, stage=CONSTRUCTING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[00:27:22] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-benchmark] COMPLETE enabled=false elapsed=288000 builds=5
